0:00;836;287;285;263
0:01;826;281;281;263
0:02;790;268;267;255
0:03;760;255;255;250
0:04;730;244;244;242
0:05;705;233;233;239
0:06;682;222;222;238
0:07;645;208;208;229
0:08;611;194;194;223
0:09;587;184;184;219
0:10;552;170;170;212
0:11;517;155;155;207
0:12;492;145;145;202
0:13;423;117;117;189
0:14;391;104;103;184
0:15;377;100;100;177
0:16;373;100;100;173
0:17;365;100;100;165
0:18;359;100;100;159
0:19;350;100;100;150
0:20;342;100;100;142
0:21;295;100;100;95
0:22;192;96;96;0
0:23;168;84;84;0
0:24;148;74;74;0
0:25;125;62;63;0
0:26;107;54;53;0
0:27;89;44;45;0
0:28;71;37;34;0
0:29;49;25;24;0
0:30;23;11;12;0
0:31;0;0;0;0
0:32;0;0;0;0
0:33;0;0;0;0
