0:00;836;287;285;263
0:01;826;281;281;263
0:02;800;269;269;262
0:03;771;255;256;259
0:04;740;247;247;246
0:05;711;236;236;239
0:06;691;225;227;238
0:07;662;211;213;238
0:08;633;200;199;234
0:09;601;195;196;211
0:10;590;195;184;211
0:11;574;194;170;209
0:12;560;194;157;209
0:13;547;194;146;206
0:14;530;194;132;204
0:15;515;194;118;202
0:16;501;194;107;199
0:17;490;194;100;195
0:18;488;194;100;194
0:19;482;194;100;187
0:20;479;194;100;184
0:21;474;194;100;180
0:22;468;194;100;174
0:23;461;194;100;167
0:24;455;194;100;160
0:25;443;194;100;149
0:26;439;194;100;144
0:27;433;194;100;139
0:28;420;194;95;130
0:29;375;194;85;96
0:30;366;200;73;93
0:31;365;200;64;101
0:31;361;202;53;105
0:31;353;213;46;94
0:31;359;229;33;97
0:31;367;239;26;102
0:31;358;240;12;106
0:31;347;240;0;108
