0:00;405;291;;114
0:01;394;282;;113
0:02;384;272;;112
0:03;370;262;;108
0:04;360;255;;105
0:05;351;247;;104
0:06;341;233;;108
0:07;320;221;;99
0:08;316;217;;99
0:09;303;204;;99
0:10;288;193;;95
0:11;269;180;;89
0:12;250;166;;84
0:13;234;152;;82
0:14;142;142;;0
0:15;127;127;;0
0:16;114;114;;0
0:17;99;99;;0
0:18;93;93;;0
0:19;87;87;;0
0:20;81;81;;0
0:21;75;75;;0
0:22;69;69;;0
0:23;62;62;;0
0:24;56;56;;0
0:25;50;50;;0
0:26;44;44;;0
0:27;38;38;;0
0:28;32;32;;0
0:29;26;26;;0
0:30;20;20;;0
0:31;14;14;;0
0:32;8;8;;0
0:33;0;0;;0
